1.91406 0.0255807 0.036763  0.0985457 0.0622314 0.023954 0.0168509
1.93359 0.0258991 0.0252534  0.0717183 0.0510776 0.0213843 0.0167138
1.95312 0.0262235 -0.00147567  0.0434002 0.0389611 0.0186801 0.0165967
1.97266 0.0265539 0.032835  0.0144326 0.0262384 0.0159186 0.0165102
1.99219 0.0268906 0.0289856  -0.0143205 0.0132848 0.0131804 0.0164646
2.01172 0.0272336 0.0201752  -0.0419957 0.000482789 0.0105475 0.0164702
2.03125 0.0275832 0.0256374  -0.0677556 -0.0117887 0.00810056 0.0165365
2.05078 0.0279395 0.0242597  -0.0908135 -0.0231655 0.00591736 0.0166724
2.07031 0.0283027 0.0114114  -0.110458 -0.0333091 0.00407019 0.0168856
2.08984 0.028673 0.00467314  -0.126076 -0.0419165 0.00262402 0.0171827
2.10938 0.0290505 0.0262217  -0.137173 -0.0487292 0.00163464 0.0175686
2.12891 0.0294354 0.0430159  -0.143392 -0.0535408 0.00114705 0.0180467
2.14844 0.0298279 0.0164855  -0.144527 -0.0562034 0.00119412 0.0186185
2.16797 0.0302283 0.00325027  -0.14053 -0.0566313 0.00179564 0.0192839
2.1875 0.0306367 0.0106802  -0.131518 -0.0548038 0.00295767 0.0200406
2.20703 0.0310533 0.0138002  -0.117767 -0.0507654 0.00467228 0.0208846
2.22656 0.0314784 0.0245569  -0.0997084 -0.0446238 0.00691764 0.02181
2.24609 0.0319122 0.0253099  -0.0779118 -0.036547 0.00965857 0.022809
2.26562 0.0323549 0.0481681  -0.0530691 -0.0267569 0.0128474 0.0238725
2.28516 0.0328068 -0.0163246  -0.025969 -0.0155229 0.0164251 0.0249898
2.30469 0.0332681 0.00311977  0.00252935 -0.00315295 0.0203229 0.0261491
2.32422 0.0337391 0.0816082  0.0315268 0.010016 0.024464 0.0273376
2.34375 0.03422 0.020227  0.0601159 0.0236286 0.0287656 0.028542
2.36328 0.0347112 0.0656795  0.0874133 0.0373216 0.0331411 0.0297486
2.38281 0.0352129 0.0327327  0.11259 0.0507352 0.037502 0.0309436
2.40234 0.0357254 0.0255596  0.1349 0.0635235 0.0417606 0.0321136
2.42188 0.0362491 0.0218547  0.153708 0.0753645 0.045832 0.0332459
2.44141 0.0367842 0.0236505  0.168504 0.085969 0.049636 0.0343284
2.46094 0.037331 0.0227651  0.178927 0.0950889 0.0530996 0.0353504
2.48047 0.0378901 0.115894  0.184765 0.102523 0.0561582 0.0363026
2.5 0.0384615 0.0405505  0.185969 0.108121 0.0587574 0.0371773
